rooms,parcing_space,layout,price,balcony,bathroom,living,apartment_condition,author,building_type,housing_stock,developer,total_floors,floor,region,city,sector,street,area
2-х комнатная квартира,Подземная,,99800.0,Нет,1,Квартира с ливингом,Белый вариант,Частное лицо,Kирпичный,Новострой,Peak Development,9,4.0,Кишинёв мун.,Кишинёв,Чокана,str. Vadul lui Vodă 30,62
3-х комнатная квартира,Подземная,,77000.0,,,,Белый вариант,Частное лицо,,Новострой,Estate Invest Company,10,5.0,Расположение,,,,89
1-комнатная квартира,,,59000.0,1,1,,Незавершенное cтроительство,Частное лицо,Kирпичный,Новострой,Lagmar Impex,9,7.0,Кишинёв мун.,Кишинёв,Телецентр,șos. Hâncești 142,42
2-х комнатная квартира,,,127500.0,,,Квартира с ливингом,Eвроремонт,Агентство,,Новострой,,9,2.0,Яловены,Яловены,Центр,str. Alexandru cel Bun 2/8,60
1-комнатная квартира,,,109000.0,,,,Eвроремонт,Агентство,,Новострой,,9,9.0,Кишинёв мун.,Кишинёв,Ботаника,str. Burebista 25,43
2-х комнатная квартира,Подземная,,105000.0,2,,Квартира с ливингом,Белый вариант,Застройщик,Kомбинированный,Новострой,,9,3.0,Кишинёв мун.,Кишинёв,Ботаника,bd. Dacia 60/5,75
2-х комнатная квартира,Подземная,,102200.0,2,,Квартира с ливингом,Белый вариант,Застройщик,Kирпичный,Новострой,,9,3.0,Кишинёв мун.,Кишинёв,Ботаника,bd. Dacia 60/5,73
3-х комнатная квартира,Подземная,,143150.0,2,,Квартира с ливингом,Белый вариант,Застройщик,Kирпичный,Новострой,,9,9.0,Кишинёв мун.,Кишинёв,Ботаника,bd. Dacia 60/5,103
2-х комнатная квартира,Подземная,,105300.0,2,,Квартира с ливингом,Белый вариант,Застройщик,Kирпичный,Новострой,,9,3.0,Кишинёв мун.,Кишинёв,Ботаника,bd. Dacia 60/5,78
3-х комнатная квартира,Подземная,,134000.0,2,,Квартира с ливингом,Белый вариант,Застройщик,Kирпичный,Новострой,,9,3.0,Кишинёв мун.,Кишинёв,Ботаника,bd. Dacia 60/5,100
3-х комнатная квартира,Подземная,,116100.0,2,,Квартира с ливингом,Белый вариант,Застройщик,Kирпичный,Новострой,,9,3.0,Кишинёв мун.,Кишинёв,Аэропорт,bd. Dacia 60/5,90
3-х комнатная квартира,Подземная,,119950.0,2,,Квартира с ливингом,Белый вариант,Застройщик,Kирпичный,Новострой,,9,3.0,Кишинёв мун.,Кишинёв,Ботаника,bd. Dacia 60/5,93
2-х комнатная квартира,Подземная,,93800.0,2,,Квартира с ливингом,Белый вариант,Застройщик,Kирпичный,Новострой,,9,3.0,Кишинёв мун.,Кишинёв,Ботаника,bd. Dacia 60/5,67
